Vertex,ID,OD,IDW,ODW,IDC,ODC,BC,CC,KC,PR,Hub,Authority,LCC,EC,Botnet
0,7,9,394,0,0,0,4.7982502751757566e-05,0.0,0,0,2.796538019784786e-05,3.233717784497343e-41,0.0,0.0,BOTNET
1,1,0,14870,0,0,0,0.0,,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
2,1,1,0,7421,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
3,1,1,22,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
4,1,0,0,7,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
5,1,1,6,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
6,1,1,94,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
7,1,1,0,85,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
8,1,1,114,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
9,2,2,0,40,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
10,28,57,298,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0,BOTNET
11,1,1,0,132,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
12,1,1,728,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
13,1,1,0,440,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
14,1,1,236,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
15,1,1,0,113,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
16,1,1,79,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
17,1,1,0,132,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
18,1,0,4292,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
19,1,1,0,1653,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
20,1,0,84,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
21,1,0,0,40,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
22,1,0,116,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
23,1,1,0,56,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
24,1,0,126,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
25,1,0,0,63,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
26,1,1,1004,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
27,1,1,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
28,1,0,20,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
29,1,0,0,3,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
30,1,0,18,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
31,1,1,0,5,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
32,1,0,6,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,BOTNET
33,1,0,0,0,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
34,1,0,0,3,0,0,0.0,0.0,0,0,2.796538019784786e-05,0.0,0.0,0.0154468941156186,NONBOTNET
